AuthorID,Author,Date,Content,Attachments,Reactions
"425585007906783232","gksubrata","2025-05-07T04:00:11.9800000+00:00","You can peepee when you poopoo, but you can’t poopoo when you peepee","",""
"393954236377071618","klebski","2025-05-07T04:04:04.4630000+00:00","https://tenor.com/view/gg-gif-27092095","",""
"627016661894955018","josephine021552","2025-05-07T04:08:45.3700000+00:00","skill issue","",""
"712671680324960316","pompompuringdom","2025-05-07T04:09:58.9850000+00:00","I’ve done both simultaneously and I’m still alive","",""
"712671680324960316","pompompuringdom","2025-05-07T04:10:09.0810000+00:00","Yeah maybe it’s just a skill issue with you @Kontjo","",""
"274558587831975937","roflpaladin","2025-05-07T04:10:35.5790000+00:00","Guys can’t do it by default","",""
"627016661894955018","josephine021552","2025-05-07T04:11:04.9710000+00:00","don’t weaponize your incompetence","",""
"627016661894955018","josephine021552","2025-05-07T04:11:07.9330000+00:00","JKJKJKJKJK","",""
"425585007906783232","gksubrata","2025-05-07T04:11:56.8580000+00:00","HEY…. Don’t be too honest dammit","",""
"425585007906783232","gksubrata","2025-05-07T04:12:41.3040000+00:00","Sitting while shitting on a toilet is the most vulnerable position a person can be in","",""
"1102844791852638218","izyy_6969","2025-05-07T04:53:38.0120000+00:00","hot takes, getting shit-faced by yourself is actually not that sad","","💯 (1)"
"1173821133284442143","yummyomnom","2025-05-07T05:50:32.3870000+00:00","https://tenor.com/view/elmo-boss-makes-a-dollar-i-make-a-dime-thats-why-i-poop-on-company-time-poop-gif-5199018","","🤍 (2)"
"425585007906783232","gksubrata","2025-05-07T06:57:45.5410000+00:00","https://tenor.com/view/you-scare-me-youre-an-alcoholic-will-ferrel-gif-8716927","",""
"1102844791852638218","izyy_6969","2025-05-07T07:00:32.1170000+00:00","https://tenor.com/view/kanye-kanye-west-yeezy-gif-9961161404181850865","",""
"1205583169428922401","f4rtl0rd","2025-05-07T07:13:07.6690000+00:00","I actually do this sometimes, put on some music and just chill out","",""
"1102844791852638218","izyy_6969","2025-05-07T07:13:33.3640000+00:00","watch toystory 3 and cry","",""
"1205583169428922401","f4rtl0rd","2025-05-07T07:13:35.2090000+00:00","I think its more of a guy thing sih kak","",""
"1102844791852638218","izyy_6969","2025-05-07T07:14:11.3290000+00:00","cause i wouldnt be able to without getting shitfaced","",""
"425585007906783232","gksubrata","2025-05-07T07:14:19.2730000+00:00","I stand with what i said. Tho you’re not wrong","",""
"1205583169428922401","f4rtl0rd","2025-05-07T07:16:13.0070000+00:00","I think i'll just laugh like a crazy if i watch toy story while drunk people try to ruqyah me","",""
"425585007906783232","gksubrata","2025-05-07T15:11:40.8270000+00:00","Hot take: banning thomas… i kinda miss him now :’)","",""
"1205583169428922401","f4rtl0rd","2025-05-07T15:48:38.8730000+00:00","Lol🤣","",""
"436220883808419841","edennottheproject","2025-05-07T16:04:51.9190000+00:00","me too","",""
"436220883808419841","edennottheproject","2025-05-07T16:05:02.4410000+00:00","i wanted to see how far he can go","",""
"274558587831975937","roflpaladin","2025-05-08T03:50:07.7470000+00:00","Hot take : Podcast distribution should be audio-first or audio-only, if it’s video-only then it’s a vlog.","","❤️ (2),🩷 (1)"
"1102844791852638218","izyy_6969","2025-05-08T04:48:52.2330000+00:00","yes","",""
"605452468284817427","buzzer9229","2025-05-08T12:15:44.6580000+00:00","People trying to get into Indonesian politics should go in with the mindset that they don't matter but the people they serve will","","💯 (2)"
"393954236377071618","klebski","2025-05-08T12:36:03.0190000+00:00","I used to agree with this, to the point I thought that people who're in the government should get less benefits as well (such as less pay). However I actually searched it up and enforcing things like this tend to end up increasing negative effects such as corruption. There's a study on it as I remember","","🩷 (1)"
"393954236377071618","klebski","2025-05-08T12:37:13.1240000+00:00","As someone studying sustainability I also realize that doing good cannot stand alone most of the time. There will always be personal interest first

What we should do is find the proper balance between the two thats fair for everyone","","💯 (1)"
"605452468284817427","buzzer9229","2025-05-08T12:47:41.9520000+00:00","That's not what I meant","",""
"605452468284817427","buzzer9229","2025-05-08T12:48:06.8960000+00:00","First lets seperate government and politics","",""
"1205583169428922401","f4rtl0rd","2025-05-08T12:48:51.5760000+00:00","Not only that, i think we must make it free or at least affordable to enter politics. Also make it easier to run for office as an independent","","💯 (1)"
"605452468284817427","buzzer9229","2025-05-08T12:48:59.6940000+00:00","Politics usually leads to people in the government, but there are people who signed up as civil servants become part of the government. They should be remunerated in a way that gives them freedom to provide themselves facility rather than privilege.","","💯 (2)"
"605452468284817427","buzzer9229","2025-05-08T12:49:51.4900000+00:00","I am talking about politics in particular, people who are doing politics wanting power should have the mindset to put themselves below the people they are serving","",""
"1205583169428922401","f4rtl0rd","2025-05-08T12:50:52.9530000+00:00","Our political world are so expensive lmfao. To get to power/office/seat/elected, you must invest a heck lot of money + KKN/Korupsi Kolusi Nepotism. Thats why they need to be corrupt, biar balik modal & bayar yg lain pak","",""
"1205583169428922401","f4rtl0rd","2025-05-08T12:51:25.8650000+00:00","It prevented them to think of it as a service, but just as another regular job. Like an office job","",""
"605452468284817427","buzzer9229","2025-05-08T12:51:50.9640000+00:00","How would you lower the cost of politics?","",""
"393954236377071618","klebski","2025-05-08T12:52:43.4920000+00:00","I see, my b","",""
"1205583169428922401","f4rtl0rd","2025-05-08T12:54:29.7900000+00:00","I think our queen Indah G would know something abt that. One way i think abt it, its like those systems that US & western Europe have. For small-name/emerging politicians to be grassroot and funded by their constituent donations","",""
"605452468284817427","buzzer9229","2025-05-08T12:55:23.7630000+00:00","This will only work in urban areas","",""
"1205583169428922401","f4rtl0rd","2025-05-08T12:55:25.7780000+00:00","Also erase entry/admin or any kind of fees to run for office","","💯 (1)"
"605452468284817427","buzzer9229","2025-05-08T12:55:32.1620000+00:00","When the majority of Indonesia is rural","",""
"605452468284817427","buzzer9229","2025-05-08T12:56:31.0460000+00:00","Someone making 4 million/month wouldn't wanna donate 50-100k to a political party when that amount could be spent to feed the family in Jogja for an entire week","",""
"605452468284817427","buzzer9229","2025-05-08T12:57:40.7810000+00:00","To have a US and Western Europe democracy we need to have the building blocks for it first: education and satisfaction. People think straight when they know the role they are playing in society and their stomachs are full.","","💯 (1)"
"1205583169428922401","f4rtl0rd","2025-05-08T12:57:57.9020000+00:00","I got those ideas from a corrupt police friend of mine actually, he said that most police are corrupt bcs they enter akmil/akpol/sekolah kedinasan through ""jalur belakang"" hence they need to be corrupt to have that wealth back plus more","","😭 (1)"
"1205583169428922401","f4rtl0rd","2025-05-08T12:58:20.0350000+00:00","He said politics & government are similar so thats why i thought abt that","",""
"1205583169428922401","f4rtl0rd","2025-05-08T12:59:25.9700000+00:00","And since everyone in office/kantor did that (ie corrupt bcs of the same reason), then the whole system became corrupt to support each others corruption","",""
"605452468284817427","buzzer9229","2025-05-08T13:00:17.8050000+00:00","Corruption happens when there is too much need and too much rules","",""
"605452468284817427","buzzer9229","2025-05-08T13:00:37.9900000+00:00","Even if we switch to a Western style democracy it wouldn't fix the issue","",""
"605452468284817427","buzzer9229","2025-05-08T13:00:55.2000000+00:00","actually having to adopt a Western style democracy would have us REDUCE political parties","",""
"605452468284817427","buzzer9229","2025-05-08T13:01:11.5570000+00:00","And that action by itself could be seen as authoritarian","",""
"1205583169428922401","f4rtl0rd","2025-05-08T13:01:17.7330000+00:00","Yes i see that","",""
"605452468284817427","buzzer9229","2025-05-08T13:01:22.0060000+00:00","Yet nobody here has the balls to go full authoritarian","",""
"605452468284817427","buzzer9229","2025-05-08T13:01:26.8870000+00:00","cause the only authoritarian we trust","",""
