AuthorID,Author,Date,Content,Attachments,Reactions
"929685111300059156","glassesofwater","2025-04-25T23:24:35.1440000+00:00","Whenever you go outside you see like 10 to 20 people smoking in an alleyway in lower to middle class areas, but if you go to areas where people are a tad bit richer they’re always on the vapes, especially the young people. Why does the government not treat this as a problem? Or raise prices.","",""
"766280136332410920","ekast237707","2025-04-25T23:25:26.6130000+00:00","Its is our heritage","",""
"766280136332410920","ekast237707","2025-04-25T23:26:15.4480000+00:00","","https://cdn.discordapp.com/attachments/1365468565289042041/1365468986107756635/kretek-pusaka-nusantara.pdf?ex=69964a97&is=6994f917&hm=4100b319266d4fbf219573c053a942b34804bad90ae9c61a63c344f21249c82b&",""
"766280136332410920","ekast237707","2025-04-25T23:27:10.7750000+00:00","Youre all America, western, education, friend, who make weapon for living must be understand","",""
"766280136332410920","ekast237707","2025-04-25T23:27:45.9120000+00:00","😇","",""
"929685111300059156","glassesofwater","2025-04-25T23:43:38.2310000+00:00","Just because it’s your heritage doesn’t mean it’s good? Technically my heritage is shooting aboriginals doesn’t mean that was a good thing.","",""
"929685111300059156","glassesofwater","2025-04-25T23:44:10.8070000+00:00","Shooting aboriginals is never a good thing guys, it was a horrid part of Australias history.","",""
"766280136332410920","ekast237707","2025-04-25T23:45:01.5780000+00:00","Yess but in America gun shoot is still hapening bro","",""
"766280136332410920","ekast237707","2025-04-25T23:45:10.2940000+00:00","It is the goverment","",""
"766280136332410920","ekast237707","2025-04-25T23:45:26.5710000+00:00","Just lobby it if you can","",""
"766280136332410920","ekast237707","2025-04-25T23:45:34.0710000+00:00","Or maybe Demo","",""
"766280136332410920","ekast237707","2025-04-25T23:45:46.4790000+00:00","Just make movement or something","",""
"929685111300059156","glassesofwater","2025-04-25T23:45:46.4840000+00:00","Doesn’t mean it’s good?","",""
"929685111300059156","glassesofwater","2025-04-25T23:45:51.1570000+00:00","Smoking is horrible","",""
"929685111300059156","glassesofwater","2025-04-25T23:45:59.4790000+00:00","It’s ruins peoples health","",""
"766280136332410920","ekast237707","2025-04-25T23:46:04.7690000+00:00","Nooo","",""
"929685111300059156","glassesofwater","2025-04-25T23:46:06.8520000+00:00","And that burden is put on taxes","",""
"766280136332410920","ekast237707","2025-04-25T23:46:10.1580000+00:00","Too much","",""
"766280136332410920","ekast237707","2025-04-25T23:46:14.1350000+00:00","Is bad","",""
